id,period,attendance_present,attendance_absent,attendance_license,votes_in_favor,votes_against,votes_absent,rice_index
-1,2024,2175,126,209,33736,12285,5355,0.7862761447968587
-1,2025,1925,264,243,15114,4568,4790,0.7174552504967948
-1,2026,817,189,96,6566,4611,3149,0.7181893156013847
-1,total,4917,579,548,55416,21464,13294,0.7567820906308516
2,2024,1068,74,112,16383,6510,2780,0.758500949304871
2,2025,1016,77,123,7557,2163,2516,0.6876510222007116
2,2026,458,63,30,3586,1653,1924,0.6820781656982394
2,total,2542,214,265,27526,10326,7220,0.7271054442543528
3,2024,113,11,8,1681,739,284,0.9046875
3,2025,97,22,9,803,297,188,0.7212317666126418
3,2026,42,12,4,353,235,166,0.9310344827586207
3,total,252,45,21,2837,1271,638,0.8583518930957684
4,2024,1966,201,275,27094,13047,9883,0.7278691916033762
4,2025,1715,336,317,12016,4419,7393,0.6537012468945967
4,2026,782,178,113,6904,4189,2856,0.5923799424570229
4,total,4463,715,705,46014,21655,20132,0.6862157557329046
5,2024,333,25,38,5001,2022,1089,0.8377994011976048
5,2025,287,48,49,2473,606,785,0.8128702207862143
5,2026,144,22,8,1154,672,436,0.767304189435337
5,total,764,95,95,8628,3300,2310,0.8200344679017664
6,2024,183,3,12,2435,1113,508,0.8093443858327054
6,2025,176,5,11,1242,397,293,0.8001038421599169
6,2026,77,4,6,665,302,164,0.825817860300619
6,total,436,12,29,4342,1812,965,0.809462915601023
7,2024,463,28,37,7015,2501,1300,0.8295764448212519
7,2025,397,52,63,3089,815,1248,0.771492113328848
7,2026,179,33,20,1666,823,527,0.7315476190476191
7,total,1039,113,120,11770,4139,3075,0.7982937012161917
8,2024,582,28,50,8495,3507,1518,0.8755355961829177
8,2025,504,61,75,3848,976,1616,0.8028643228966331
8,2026,225,30,35,1844,1256,670,0.8207876285112056
8,total,1311,119,160,14187,5739,3804,0.8475829725829725
9,2024,114,5,13,955,887,862,0.9382171226831421
9,2025,103,4,21,337,320,631,0.96
9,2026,44,4,10,226,261,267,0.9313725490196079
9,total,261,13,44,1518,1468,1760,0.9420600858369099
10,2024,182,12,4,1872,1066,1118,0.8704149933065595
10,2025,170,18,4,713,671,548,0.8769906644700712
10,2026,72,10,5,490,362,279,0.887037037037037
10,total,424,40,13,3075,2099,1945,0.874924653405666
11,2024,1197,116,139,18938,6848,3958,0.7691260089616154
11,2025,1021,175,212,8737,2390,3041,0.7235393448477309
11,2026,481,90,67,3722,2730,1842,0.790611035588904
11,total,2699,381,418,31397,11968,8841,0.7601677465718751
12,2024,103,15,14,1418,482,804,0.9376899696048632
12,2025,85,17,26,727,173,388,0.907563025210084
12,2026,47,2,9,336,261,157,0.9117647058823529
12,total,235,34,49,2481,916,1349,0.9258107507774322
13,2024,50,10,6,606,338,408,1.0
13,2025,47,15,2,327,126,191,1.0
13,2026,26,2,1,183,108,86,1.0
13,total,123,27,9,1116,572,685,1.0
14,2024,62,2,2,866,316,170,1.0
14,2025,53,4,7,305,138,201,1.0
14,2026,25,4,0,204,118,55,1.0
14,total,140,10,9,1375,572,426,1.0
15,2024,36,8,22,585,341,426,1.0
15,2025,38,22,4,183,54,407,1.0
15,2026,15,2,12,93,77,207,1.0
15,total,89,32,38,861,472,1040,1.0
16,2024,124,1,7,1925,548,231,0.8409947249434815
16,2025,107,6,15,871,183,234,0.8701298701298701
16,2026,50,7,1,445,215,94,0.8
16,total,281,14,23,3241,946,559,0.8427507665352606
17,2024,167,19,12,2583,641,832,0.892482034273079
17,2025,133,43,16,1065,245,622,0.8429054054054054
17,2026,63,16,8,517,314,300,0.8439490445859873
17,total,363,78,36,4165,1200,1754,0.8713699494949495
