congressman_id,congressman_2_id,similarity_score,common_votes,same_votes,agreement_percentage
2,11,0.604587,1417,1118,0.789
11,2,0.604587,1417,1118,0.789
2,18,0.148463,1304,727,0.5575
18,2,0.148463,1304,727,0.5575
2,30,0.460263,1841,1429,0.7762
30,2,0.460263,1841,1429,0.7762
2,31,0.394074,1813,1400,0.7722
31,2,0.394074,1813,1400,0.7722
2,39,0.377813,1718,1236,0.7194
39,2,0.377813,1718,1236,0.7194
2,41,0.478744,1422,1081,0.7602
41,2,0.478744,1422,1081,0.7602
2,54,0.408244,1404,1072,0.7635
54,2,0.408244,1404,1072,0.7635
2,61,0.204855,1374,892,0.6492
61,2,0.204855,1374,892,0.6492
2,65,0.710656,1730,1524,0.8809
65,2,0.710656,1730,1524,0.8809
2,78,0.489727,1782,1395,0.7828
78,2,0.489727,1782,1395,0.7828
2,86,0.468101,1460,1121,0.7678
86,2,0.468101,1460,1121,0.7678
2,92,0.599569,1732,1445,0.8343
92,2,0.599569,1732,1445,0.8343
2,93,0.602183,1816,1524,0.8392
93,2,0.602183,1816,1524,0.8392
2,95,0.591274,1722,1427,0.8287
95,2,0.591274,1722,1427,0.8287
2,99,0.390551,1574,1183,0.7516
99,2,0.390551,1574,1183,0.7516
2,100,0.371552,1783,1347,0.7555
100,2,0.371552,1783,1347,0.7555
2,117,0.355209,1552,1143,0.7365
117,2,0.355209,1552,1143,0.7365
2,122,0.278,1349,937,0.6946
122,2,0.278,1349,937,0.6946
2,126,0.164936,1694,1155,0.6818
126,2,0.164936,1694,1155,0.6818
2,127,0.593223,1679,1388,0.8267
127,2,0.593223,1679,1388,0.8267
2,128,0.352282,1428,1044,0.7311
128,2,0.352282,1428,1044,0.7311
2,130,0.701033,1474,1285,0.8718
130,2,0.701033,1474,1285,0.8718
2,135,0.425086,1665,1282,0.77
135,2,0.425086,1665,1282,0.77
2,154,0.383665,1612,1176,0.7295
154,2,0.383665,1612,1176,0.7295
2,155,0.22351,1799,1236,0.687
155,2,0.22351,1799,1236,0.687
2,160,0.277478,1617,1138,0.7038
160,2,0.277478,1617,1138,0.7038
2,179,0.51638,1156,865,0.7483
179,2,0.51638,1156,865,0.7483
2,247,0.491099,1642,1289,0.785
247,2,0.491099,1642,1289,0.785
2,770,0.507836,1689,1237,0.7324
770,2,0.507836,1689,1237,0.7324
2,772,0.562961,1532,1246,0.8133
772,2,0.562961,1532,1246,0.8133
2,774,0.538597,1422,1139,0.801
774,2,0.538597,1422,1139,0.801
2,776,0.524745,1590,1215,0.7642
776,2,0.524745,1590,1215,0.7642
2,777,0.641474,1819,1539,0.8461
777,2,0.641474,1819,1539,0.8461
2,780,0.657443,1665,1414,0.8492
780,2,0.657443,1665,1414,0.8492
2,781,0.748904,1380,1232,0.8928
781,2,0.748904,1380,1232,0.8928
2,782,0.517778,1780,1406,0.7899
782,2,0.517778,1780,1406,0.7899
2,785,0.623391,1181,984,0.8332
785,2,0.623391,1181,984,0.8332
2,787,0.565528,1920,1590,0.8281
787,2,0.565528,1920,1590,0.8281
2,788,0.612576,1664,1397,0.8395
788,2,0.612576,1664,1397,0.8395
2,789,0.441269,1516,1157,0.7632
789,2,0.441269,1516,1157,0.7632
2,790,0.455404,1572,1196,0.7608
790,2,0.455404,1572,1196,0.7608
2,791,0.547325,1809,1482,0.8192
791,2,0.547325,1809,1482,0.8192
2,793,0.571603,1705,1393,0.817
793,2,0.571603,1705,1393,0.817
2,796,0.511789,1745,1395,0.7994
796,2,0.511789,1745,1395,0.7994
2,801,0.478727,1660,1303,0.7849
801,2,0.478727,1660,1303,0.7849
2,802,0.534505,1751,1438,0.8212
802,2,0.534505,1751,1438,0.8212
