id,period,attendance_present,attendance_absent,attendance_license,votes_in_favor,votes_against,votes_absent,votes_with_majority,votes_against_majority
2,2024,55,7,4,748,371,233,946,173
2,2025,42,15,7,417,97,130,452,62
2,2026,25,6,0,230,92,89,272,50
2,total,122,28,11,1395,560,452,1670,285
11,2024,52,4,10,512,507,333,738,281
11,2025,48,1,15,178,155,311,224,109
11,2026,20,2,9,131,125,155,229,27
11,total,120,7,34,821,787,799,1191,417
18,2024,62,3,1,394,419,539,433,380
18,2025,58,6,0,150,258,236,162,246
18,2026,28,3,0,173,174,64,253,94
18,total,148,12,1,717,851,839,848,720
30,2024,48,15,3,844,328,180,974,198
30,2025,38,24,2,387,140,117,436,91
30,2026,21,10,0,201,148,62,305,44
30,total,107,49,5,1432,616,359,1715,333
31,2024,56,6,4,949,300,103,1083,166
31,2025,52,10,2,474,125,45,487,112
31,2026,26,4,1,239,53,119,258,34
31,total,134,20,7,1662,478,267,1828,312
39,2024,56,3,7,625,466,261,844,247
39,2025,54,4,6,362,116,166,380,98
39,2026,30,0,1,287,118,6,369,36
39,total,140,7,14,1274,700,433,1593,381
41,2024,44,4,18,565,331,456,773,123
41,2025,36,6,22,347,183,114,385,145
41,2026,25,2,4,107,108,196,137,78
41,total,105,12,44,1019,622,766,1295,346
54,2024,44,16,6,521,305,526,574,252
54,2025,44,15,5,358,85,201,364,79
54,2026,23,8,0,234,58,119,202,90
54,total,111,39,11,1113,448,846,1140,421
61,2024,60,3,3,633,345,374,700,278
61,2025,53,7,4,201,196,247,199,198
61,2026,22,4,5,163,57,191,179,41
61,total,135,14,12,997,598,812,1078,517
65,2024,56,4,6,759,332,261,950,141
65,2025,55,3,6,381,125,138,412,94
65,2026,27,3,1,190,132,89,229,93
65,total,138,10,13,1330,589,488,1591,328
78,2024,55,3,8,764,353,235,946,171
78,2025,46,4,14,381,136,127,413,104
78,2026,21,6,4,228,130,53,324,34
78,total,122,13,26,1373,619,415,1683,309
86,2024,54,9,3,785,314,253,945,154
86,2025,39,13,12,234,68,342,239,63
86,2026,19,6,6,123,122,166,229,16
86,total,112,28,21,1142,504,761,1413,233
92,2024,55,4,7,875,328,149,1071,132
92,2025,47,8,9,370,102,172,412,60
92,2026,26,5,0,169,111,131,232,48
92,total,128,17,16,1414,541,452,1715,240
93,2024,57,9,0,846,300,206,1069,77
93,2025,51,13,0,466,60,118,484,42
93,2026,29,2,0,245,118,48,342,21
93,total,137,24,0,1557,478,372,1895,140
95,2024,52,10,4,773,354,225,1016,111
95,2025,42,17,5,439,97,108,469,67
95,2026,22,9,0,195,138,78,288,45
95,total,116,36,9,1407,589,411,1773,223
99,2024,57,6,3,918,306,128,1031,193
99,2025,39,23,2,278,52,314,287,43
99,2026,22,8,1,203,78,130,239,42
99,total,118,37,6,1399,436,572,1557,278
100,2024,54,9,3,1032,215,105,1010,237
100,2025,52,9,3,373,90,181,398,65
100,2026,26,5,0,237,142,32,342,37
100,total,132,23,6,1642,447,318,1750,339
117,2024,51,12,3,850,221,281,847,224
117,2025,51,9,4,281,85,278,313,53
117,2026,23,5,3,178,101,132,220,59
