id,congressman_id,alias
1,840,ajcip canel hellen magaly alexandra
2,840,ajcip canel hellen magaly alexandrá
3,948,amézquita del valle cesar augusto
4,972,arévalo ávila sherol ivanisse
5,918,ayala marroquín jorge estuardo
6,969,barragan morales gerson geovanny
7,891,bonilla gonzalez victor vicente
8,891,bonilla gonzález victor vicente
9,973,cabrera ordoñez jorge mario
10,908,caceres gamarro luis antonio
11,791,cardona arreaga de pojoy karla betzaida
12,905,castañasa mendizabal obbed ediberto
13,934,castañon gonzález manfredo duvalier
14,939,cerna acevedo damaris carolina
15,899,chic cardona jose alberto
16,962,cifuentes barragan gladis carolina
17,39,contreras colindres luis alberto
18,889,cua tumin raul arnulfo
19,889,cuá tumin raúl arnulfo
20,950,de jesús mejía edín alexander
21,970,de león benitez alberto eduardo
22,777,de león de león de pérez greicy domenica
23,963,domínguez orozco jeovanni omar
24,906,dávila cordova cesar roberto
25,941,enríquez garzaro sergio guillermo
26,920,galvez de león manrique obel
27,861,gutiérrez raguay sonia marina
28,870,gálvez muñoz mario ernesto
29,892,javier javier esduin jerson
30,99,martínez herrera joel rubén
31,921,martínez juarez christian joel
32,781,martínez salazar duay antoni
33,893,mendoza franco jose pablo
34,897,motta kolleff elena sofía
35,932,pellecer rodríguez rodrigo antonio
36,945,perez toribio marco alejandro
37,834,pérez álvarez samuel andrés
38,922,ramírez cámeros darwin edgardo
39,126,ramírez retana thelma elizabeth
40,127,reyes lee edgar raul
41,811,rivas garcía juan ramón
42,857,rivera estévez juan carlos
43,901,rodas cardona cesar augusto
44,130,rojas alarcón carlos napoleón
45,914,sanabria arias jose carlos
46,955,tebelan pantzay marcos eduardo
47,954,tzun de león erick josé
48,155,villagrán antón andrea beatriz
49,927,zepeda zepeda marvin adrian
