id,period,attendance_present,attendance_absent,attendance_license,votes_in_favor,votes_against,votes_absent,rice_index
1,2024,497,26,71,7564,3016,1588,0.7811795576218653
1,2025,421,52,103,3395,963,1438,0.701702628968254
1,2026,242,27,46,1823,972,985,0.7157237339380196
1,total,1160,105,220,12782,4951,4011,0.7486933717655111
2,2024,114,13,5,1990,520,194,0.8115615615615616
2,2025,110,9,9,886,183,219,0.8828250401284109
2,2026,60,9,1,470,191,179,0.926829268292683
2,total,284,31,15,3346,894,592,0.8503171247357294
3,2024,652,22,52,9693,3713,1466,0.7821560384060384
3,2025,616,41,47,4657,1493,934,0.7201839826839826
3,2026,315,45,25,2369,1487,764,0.7486214182642754
3,total,1583,108,124,16719,6693,3164,0.7598073031640912
4,2024,289,24,17,4189,1826,745,0.7176905995558845
4,2025,261,38,21,2103,580,537,0.7304166666666666
4,2026,143,24,8,1123,554,423,0.6021582733812949
4,total,693,86,46,7415,2960,1705,0.7010658914728681
5,2024,131,25,42,1980,976,1100,0.7730718954248366
5,2025,107,38,47,603,157,1172,0.8905565978736709
5,2026,52,14,39,356,144,760,0.8783524904214558
5,total,290,77,128,2939,1277,3032,0.8191094619666048
6,2024,115,7,10,1634,731,339,0.8761682242990654
6,2025,111,7,10,746,233,309,0.8563734290843806
6,2026,51,9,10,317,270,253,0.8967391304347826
6,total,277,23,30,2697,1234,901,0.8746038931643277
7,2024,340,24,32,5114,1891,1107,0.8478024691358025
7,2025,280,50,54,2201,464,1199,0.7989599583983358
7,2026,157,37,16,1168,684,668,0.7708730158730158
7,total,777,111,102,8483,3039,2974,0.8214157334439375
8,2024,1074,65,115,15822,6357,3509,0.6917129400044288
8,2025,983,140,93,7363,2398,2475,0.6273951046122844
8,2026,522,91,52,3855,2364,1761,0.7082465612507629
8,total,2579,296,260,27040,11119,7745,0.677442838568551
9,2024,540,57,63,8352,3075,2093,0.7493717912486458
9,2025,457,102,81,3834,935,1671,0.741535627750581
9,2026,249,58,43,2091,1115,994,0.7332482993197278
9,total,1246,217,187,14277,5125,4758,0.7444744121715077
10,2024,156,10,32,2556,937,563,0.7697568389057751
10,2025,120,33,39,959,285,688,0.8352941176470589
10,2026,76,22,7,704,339,217,0.7972424979724249
10,total,352,65,78,4219,1561,1468,0.791415446454206
11,2024,184,10,4,2797,869,390,0.8533927686973748
11,2025,170,17,5,1412,280,240,0.8218029350104821
11,2026,98,6,1,802,358,100,0.8587570621468925
11,total,452,33,10,5011,1507,730,0.8459290187891441
12,2024,246,3,15,3913,1126,369,0.8157372986369268
12,2025,227,15,14,1828,367,381,0.8126293995859212
12,2026,124,9,7,901,365,414,0.8269537480063797
12,total,597,27,36,6642,1858,1164,0.81685362138208
13,2024,1841,134,139,24911,10782,7556,0.6498393912121451
13,2025,1639,214,195,11005,4182,5421,0.5740813382609412
13,2026,945,111,64,6360,4180,2900,0.6100889124991221
13,total,4425,459,398,42276,19144,15877,0.6227353402353054
14,2024,211,24,29,3419,1374,615,0.8540419161676647
14,2025,165,41,50,1506,492,578,0.7261521972132904
14,2026,94,19,27,867,426,387,0.7134146341463414
14,total,470,84,106,5792,2292,1580,0.7961007882882882
15,2024,372,37,53,5690,2235,1539,0.753434065934066
15,2025,334,46,68,2618,763,1127,0.6990862491642523
15,2026,179,43,23,1531,843,566,0.7532653061224488
15,total,885,126,144,9839,3841,3232,0.7389674974838671
16,2024,438,33,57,6409,2868,1539,0.7778396436525612
16,2025,361,62,89,2809,974,1369,0.7038566864445459
16,2026,189,58,33,1501,829,1030,0.7417498565691337
16,total,988,153,179,10719,4671,3938,0.752173566243918
17,2024,152,19,27,2373,884,799,0.8022988505747126
17,2025,138,27,27,1115,364,453,0.8088314485729671
17,2026,68,17,20,531,350,379,0.7973531844499586
17,total,358,63,74,4019,1598,1631,0.8031800601633003
18,2024,175,14,9,2846,947,263,0.8286140089418778
18,2025,153,30,9,1337,364,231,0.7927215189873417
18,2026,76,22,7,629,381,250,0.8065040650406503
18,total,404,66,25,4812,1692,744,0.8152964205816554
19,2024,490,44,60,6869,3096,2203,0.6737136267899796
19,2025,449,57,70,2868,1184,1744,0.6179865424430642
19,2026,252,31,32,1940,1101,739,0.6716994355419176
19,total,1191,132,162,11677,5381,4686,0.6584846929374293
20,2024,157,23,18,2331,1024,701,0.8328236493374107
20,2025,103,45,44,1018,296,618,0.8207822533566841
20,2026,71,24,10,567,384,309,0.8461538461538461
20,total,331,92,72,3916,1704,1628,0.8320846187747907
21,2024,168,25,5,2051,1375,630,0.8999230177059276
21,2025,143,26,23,864,569,499,0.772626931567329
21,2026,75,23,7,610,377,273,0.8024054982817869
21,total,386,74,35,3525,2321,1402,0.8498472282845919
22,2024,273,18,39,4370,1626,764,0.8310267857142858
22,2025,233,42,45,2205,451,564,0.8205128205128205
22,2026,119,32,24,1178,494,428,0.7749800159872101
22,total,625,92,108,7753,2571,1756,0.8184876285793717
23,2024,214,15,35,3266,1285,857,0.8610698365527489
23,2025,208,15,33,1443,393,740,0.7632545931758531
23,2026,97,20,23,787,337,556,0.7594834543987086
23,total,519,50,91,5496,2015,2153,0.8175995544416595
24,2024,89,12,31,1449,658,597,0.8473597359735974
24,2025,85,22,21,632,171,485,0.8752362948960303
24,2026,53,12,5,426,245,169,0.8630490956072352
24,total,227,46,57,2507,1074,1251,0.8571428571428571
