id,period,attendance_present,attendance_absent,attendance_license,votes_in_favor,votes_against,votes_absent,rice_index
1,2024,1534,142,172,24140,8929,4787,0.7812747619326338
1,2025,1278,243,271,11033,3027,3972,0.7039693612563134
1,2026,742,154,112,5411,3392,3013,0.751454742199521
1,total,3554,539,555,40584,15348,11772,0.7554812439992492
2,2024,114,5,13,955,887,862,0.9382171226831421
2,2025,103,4,21,337,320,631,0.96
2,2026,58,4,10,266,277,301,0.9292035398230089
2,total,275,13,44,1558,1484,1794,0.94148655772272
3,2024,113,11,8,1681,739,284,0.9046875
3,2025,97,22,9,803,297,188,0.7212317666126418
3,2026,52,16,4,405,241,198,0.9244791666666666
3,total,262,49,21,2889,1277,670,0.8583954405962297
4,2024,2069,207,298,28510,13727,10491,0.7268986563145546
4,2025,1806,343,347,12476,4718,7922,0.6436281892828168
4,2026,987,245,172,8020,4532,3906,0.5982707905757211
4,total,4862,795,817,49006,22977,22319,0.682272047501392
5,2024,582,28,50,8495,3507,1518,0.8755355961829177
5,2025,504,61,75,3848,976,1616,0.8028643228966331
5,2026,281,34,45,2102,1308,810,0.8181197760907907
5,total,1367,123,170,14445,5791,3944,0.8466110409947178
6,2024,1349,62,109,20902,7593,2601,0.9280500506465826
6,2025,1231,146,95,10012,2896,1904,0.8212499429890473
6,2026,646,141,41,4900,3365,1441,0.8170729058015272
6,total,3226,349,245,35814,13854,5946,0.8802371373066051
7,2024,333,25,38,5001,2022,1089,0.8377994011976048
7,2025,287,48,49,2473,606,785,0.8128702207862143
7,2026,176,27,13,1308,695,529,0.7812652068126521
7,total,796,100,100,8782,3323,2403,0.8214567483798253
8,2024,183,3,12,2435,1113,508,0.8093443858327054
8,2025,176,5,11,1242,397,293,0.8001038421599169
8,2026,96,5,7,780,310,176,0.8364928909952607
8,total,455,13,30,4457,1820,977,0.8116548166736371
9,2024,644,32,50,9756,3410,1706,0.834826732937844
9,2025,558,61,85,4316,1084,1684,0.7335158371649055
9,2026,312,44,40,2532,1118,992,0.7282523953140067
9,total,1514,137,175,16604,5612,4382,0.7892064567147349
10,2024,244,12,8,2814,1394,1200,0.783284023668639
10,2025,228,19,9,1095,870,611,0.6995305164319249
10,2026,118,12,14,746,396,546,0.8401442307692307
10,total,590,43,31,4655,2660,2357,0.7708766098878271
11,2024,158,15,25,2399,802,855,0.9218168279970216
11,2025,136,18,38,1115,266,551,0.8346666666666666
11,2026,79,7,22,648,372,246,0.8493265993265993
11,total,373,40,85,4162,1440,1652,0.8866328257191202
12,2024,144,36,18,2213,748,1095,0.7818863879957128
12,2025,136,39,17,788,333,811,0.8087855297157622
12,2026,85,16,7,503,343,420,0.7660343270099368
12,total,365,91,42,3504,1424,2326,0.7856583685611398
13,2024,62,2,2,866,316,170,1.0
13,2025,53,4,7,305,138,201,1.0
13,2026,29,4,3,212,118,92,1.0
13,total,144,10,12,1383,572,463,1.0
14,2024,36,8,22,585,341,426,1.0
14,2025,38,22,4,183,54,407,1.0
14,2026,17,2,17,94,78,250,1.0
14,total,91,32,43,862,473,1083,1.0
15,2024,124,1,7,1925,548,231,0.8409947249434815
15,2025,107,6,15,871,183,234,0.8701298701298701
15,2026,62,7,3,492,219,133,0.819371727748691
15,total,293,14,25,3288,950,598,0.8451612903225807
16,2024,216,24,24,3292,958,1158,0.8515200868621062
16,2025,166,55,35,1334,349,893,0.8302521008403362
16,2026,107,25,12,755,459,474,0.8546273546273547
16,total,489,104,71,5381,1766,2525,0.8464125560538116
17,2024,1013,71,104,15619,6157,2545,0.7621886885808453
17,2025,970,73,109,7176,2027,2389,0.6944449032273292
17,2026,542,69,37,3810,1623,2163,0.6777559815892683
17,total,2525,213,250,26605,9807,7097,0.7293833905187138
