id,type,session_number,start_date,period
41168,2,1,2024-01-14 07:55:20,2024
41169,0,1,2024-01-19 01:02:50,2024
41170,0,2,2024-01-24 12:57:10,2024
41171,0,3,2024-01-25 08:57:14,2024
41172,0,4,2024-01-30 12:58:53,2024
41173,0,5,2024-02-01 09:06:01,2024
41174,0,6,2024-02-06 12:53:39,2024
41175,0,7,2024-02-08 09:04:02,2024
41176,0,8,2024-02-13 01:05:33,2024
41177,0,9,2024-02-15 09:03:48,2024
41178,0,10,2024-02-20 01:02:22,2024
41179,0,11,2024-02-22 09:01:11,2024
41180,0,12,2024-02-27 12:51:51,2024
41181,0,13,2024-02-29 09:01:22,2024
41182,0,14,2024-03-05 01:02:09,2024
41183,0,15,2024-03-07 09:03:35,2024
41184,0,16,2024-03-14 08:55:57,2024
41185,0,17,2024-04-02 01:00:19,2024
41186,0,18,2024-04-04 09:08:54,2024
41187,0,19,2024-04-09 12:05:58,2024
41188,0,20,2024-04-11 09:09:37,2024
41189,0,21,2024-04-16 01:05:04,2024
41191,0,22,2024-04-23 12:55:26,2024
41192,0,23,2024-04-25 08:35:39,2024
41193,0,24,2024-04-30 01:01:33,2024
41194,0,25,2024-05-02 08:57:48,2024
41195,0,26,2024-05-07 12:13:20,2024
41197,2,2,2024-05-30 09:05:23,2024
41198,1,1,2024-06-06 09:08:01,2024
41199,1,2,2024-06-20 08:53:00,2024
41200,1,3,2024-07-04 09:00:58,2024
41201,1,4,2024-07-11 09:10:11,2024
41202,1,5,2024-07-25 09:06:31,2024
41203,0,27,2024-08-06 01:00:35,2024
41205,0,28,2024-08-13 01:31:50,2024
41206,0,29,2024-08-20 01:00:22,2024
41207,0,30,2024-08-22 09:03:29,2024
41208,2,3,2024-08-27 10:57:04,2024
41209,0,31,2024-08-27 02:01:44,2024
41210,0,32,2024-08-29 08:55:40,2024
41211,0,33,2024-09-03 01:04:28,2024
41212,0,34,2024-09-05 09:02:04,2024
41213,0,35,2024-09-10 12:54:09,2024
41214,2,4,2024-09-12 08:58:02,2024
41215,0,36,2024-09-12 12:21:19,2024
41216,0,37,2024-09-17 12:50:01,2024
41217,0,38,2024-09-19 08:54:29,2024
41221,0,39,2024-09-24 12:51:29,2024
41228,0,40,2024-10-03 09:18:00,2024
41230,0,40,2024-10-08 09:05:32,2024
41232,0,41,2024-10-15 01:01:39,2024
41233,0,42,2024-10-17 09:10:00,2024
41234,0,43,2024-10-22 01:03:21,2024
41235,0,44,2024-10-24 08:59:22,2024
41236,0,45,2024-10-29 01:06:13,2024
41237,0,46,2024-10-31 09:10:18,2024
41238,0,47,2024-11-05 01:00:54,2024
41239,0,48,2024-11-07 09:00:46,2024
41240,0,49,2024-11-12 12:55:58,2024
41241,0,50,2024-11-14 09:05:01,2024
41242,0,51,2024-11-19 01:05:19,2024
41243,0,52,2024-11-21 09:05:28,2024
41244,0,53,2024-11-22 10:04:17,2024
41245,0,54,2024-11-26 01:00:27,2024
41247,1,6,2024-12-05 09:00:44,2024
41248,1,7,2024-12-12 09:14:22,2024
41249,2,1,2025-01-14 09:05:03,2025
41250,0,1,2025-01-21 01:05:52,2025
41251,0,2,2025-01-23 09:15:07,2025
41252,0,3,2025-02-04 04:16:47,2025
41253,0,4,2025-02-06 09:04:40,2025
41254,0,5,2025-02-11 01:43:55,2025
41255,0,6,2025-02-13 09:53:01,2025
41256,0,7,2025-02-18 01:02:24,2025
41257,0,8,2025-02-20 09:27:05,2025
41259,0,9,2025-02-25 12:55:15,2025
41261,0,10,2025-03-04 01:06:42,2025
41262,0,11,2025-03-06 09:09:04,2025
41263,0,12,2025-03-11 12:59:46,2025
41264,0,13,2025-03-13 09:05:47,2025
41265,0,14,2025-03-18 01:01:24,2025
41266,0,15,2025-03-20 09:04:41,2025
