voting_id,total_favor,total_contra,total_absent,is_approved
46869,159,0,0,True
46870,159,0,0,True
46871,75,84,0,False
46872,92,67,0,True
46873,99,56,5,True
46877,94,63,2,True
46878,93,66,0,True
46879,111,7,41,True
46880,115,21,23,True
46882,98,8,53,True
46884,147,3,9,True
46885,100,6,53,True
46886,98,5,56,True
46887,96,6,57,True
46888,87,6,66,True
46889,91,7,61,True
46891,82,25,53,True
46893,67,47,46,True
46896,105,48,7,True
46900,106,41,13,True
46909,109,38,13,True
46910,141,6,13,True
46911,98,48,14,True
46912,67,81,12,False
46913,40,108,12,False
46915,69,78,13,False
46918,62,14,84,True
46920,59,20,81,True
46922,155,0,5,True
46923,152,1,7,True
46924,148,5,7,True
46925,149,4,7,True
46926,148,5,7,True
46927,148,5,7,True
46928,147,7,6,True
46929,153,0,7,True
46930,151,4,5,True
46931,98,47,15,True
46932,117,36,7,True
46934,95,54,11,True
46935,134,12,14,True
46936,126,19,15,True
46938,97,13,50,True
46940,94,20,46,True
46941,125,19,16,True
46942,103,4,53,True
46945,137,6,17,True
46946,117,22,21,True
46947,112,26,22,True
46948,104,34,22,True
46950,72,66,22,True
46951,42,46,72,False
46954,65,12,83,True
46957,86,20,54,True
46958,133,4,23,True
46959,82,31,47,True
46960,59,85,16,False
46961,93,50,17,True
46962,95,46,19,True
46963,134,5,21,True
46964,131,10,19,True
46969,68,11,81,True
46972,86,22,52,True
46979,89,27,44,True
46980,107,23,30,True
46981,59,80,21,False
46982,102,5,53,True
46983,126,5,29,True
46986,60,11,89,True
46989,81,8,71,True
46998,30,98,32,False
46999,86,49,25,True
47000,48,93,19,False
47004,91,42,27,True
47005,99,34,27,True
47006,100,34,26,True
47007,59,20,81,True
47010,85,15,60,True
47011,122,5,33,True
47012,122,16,22,True
47016,134,3,23,True
47019,133,4,23,True
47021,135,5,20,True
47024,119,14,27,True
47025,95,37,28,True
47026,120,11,29,True
47028,125,3,32,True
47029,8,124,28,False
47031,129,3,28,True
47032,130,2,28,True
47033,1,132,27,False
47034,124,11,25,True
47035,123,13,24,True
47036,20,114,26,False
47037,19,116,25,False
47039,132,5,23,True
47041,1,136,23,False
47042,133,1,26,True
47043,137,3,20,True
47044,135,5,20,True
47045,1,139,20,False
47046,29,111,20,False
47047,136,4,20,True
47048,68,70,22,False
47050,107,30,23,True
47051,104,35,21,True
47052,128,6,26,True
47053,106,33,21,True
47055,132,2,26,True
47056,72,62,26,True
47057,132,2,26,True
47060,61,18,81,True
47063,83,12,65,True
